App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Gakondo,com.ishakwe.gakondo,Adventure,0,0,10,10,15,TRUE,0,USD,10M,7.1 and up,Jean Confident Irénée NIYIZIBYOSE,https://beniyizibyose.tk/#/,jean21101999@gmail.com,02/26/20,02/26/20,Everyone,https://beniyizibyose.tk/projects/,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Ampere Battery Info,com.webserveis.batteryinfo,Tools,4.4,64,5000,5000,7662,TRUE,0,USD,2.9M,5.0 and up,Webserveis,https://webserveis.netlify.app/,webserveis@gmail.com,05/21/20,05/06/21,Everyone,https://dev4phones.wordpress.com/licencia-de-uso/,TRUE,FALSE,FALSE,2021-06-15 20:19:35
Vibook,com.doantiepvien.crm,Productivity,0,0,50,50,58,TRUE,0,USD,3.7M,4.0.3 and up,Cabin Crew,,vnacrewit@gmail.com,08/09/19,08/19/19,Everyone,https://www.vietnamairlines.com/vn/en/terms-and-conditions/privacy-policy,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Smart City Trichy Public Service Vehicles 17UCS548,cst.stJoseph.ug17ucs548,Communication,5,5,10,10,19,TRUE,0,USD,1.8M,4.0.3 and up,Climate Smart Tech2,http://www.climatesmarttech.com/,climatesmarttech2@gmail.com,09/10/18,10/13/18,Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:35
GROW.me,com.horodyski.grower,Tools,0,0,100,100,478,TRUE,0,USD,6.2M,4.1 and up,Rafal Milek-Horodyski,http://www.horodyski.com.pl,rmilekhorodyski@gmail.com,02/21/20,11/12/18,Everyone,http://www.horodyski.com.pl,FALSE,FALSE,FALSE,2021-06-15 20:19:35
IMOCCI,com.imocci,Social,0,0,50,50,89,TRUE,0,USD,46M,6.0 and up,Imocci GmbH,http://www.imocci.com,info@imocci.com,12/24/18,12/20/19,Teen,https://www.imocci.com/wp-content/uploads/2018/08/Datenschutzerklärung_IMOCCI_22072018.pdf,FALSE,TRUE,FALSE,2021-06-15 20:19:35
unlimited 4G data prank free app,getfreedata.superfatiza.unlimitedjiodataprank,Libraries & Demo,4.5,12,1000,1000,2567,TRUE,0,USD,2.5M,4.1 and up,android developer779,,aitomgharfatimezzahra@gmail.com,09/23/19,09/27/19,Everyone,https://sites.google.com/view/unlimited4gdataprank,TRUE,FALSE,FALSE,2021-06-15 20:19:35
The Everyday Calendar,com.mozaix.simoneboard,Lifestyle,2,39,500,500,702,TRUE,0,USD,16M,5.0 and up,Mozaix LLC,,elementuser03@gmail.com,06/21/19,06/21/19,Everyone,https://www.freeprivacypolicy.com/privacy/view/978b22a2fd432de423de81e4ac91d571,FALSE,FALSE,FALSE,2021-06-15 20:19:35
WhatsOpen,com.whatsopen.app,Communication,0,0,10,10,18,TRUE,0,USD,1.3M,4.4 and up,Yilver Molina Hurtatiz,http://yilvermolinah.com,yilver.mh1996@gmail.com,,12/07/18,Teen,http://elcafedelamanana.yilvermolinah.com/policy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Neon 3d Iron Tech Keyboard Theme,com.ikeyboard.theme.neon_3d.iron.tech,Personalization,4.7,820,50000,50000,62433,TRUE,0,USD,3.5M,4.1 and up,Free 2021 Themes for Emoji keyboard,https://trendyteme888-31139.web.app,trendyteme.888@gmail.com,09/22/19,10/07/20,Everyone,http://bit.ly/EmojiThemePro,TRUE,FALSE,FALSE,2021-06-15 20:19:35
Dodge The Cars!,com.MrScratchEnterprises.CarDogeGame,Racing,4.9,55,100,100,329,TRUE,0,USD,51M,4.4 and up,MrScratch,,mithalaarush@gmail.com,07/30/20,07/30/20,Everyone,https://docs.google.com/document/d/1HTtvenbfLk62rIRKzmE0pYD1tFQBhZwWfXrhRBQb_Xw/edit?usp=sharing,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Parents,com.eqra.android.BSTS.parent,Maps & Navigation,0,0,100,100,330,TRUE,0,USD,2.7M,4.0 and up,Eqra Tech,http://www.hafizquran.com,hhiyassat@eqratech.com,01/10/18,06/27/18,Everyone,https://docs.google.com/document/d/1fpoF-YmfcVQsZUQhhDjZEj09B3tCvc972aDukdFYmjY/edit?usp=sharing,FALSE,FALSE,FALSE,2021-06-15 20:19:36
桃園機場捷運時刻表 - 捷運轉乘路線快速查詢(支援台北捷運),com.jieapp.taoyuanmetro,Travel & Local,3.9,118,10000,10000,37763,TRUE,0,USD,7.6M,4.2 and up,Jie App,https://jie-app.herokuapp.com/,jie.myapp@gmail.com,04/03/18,06/11/21,Everyone,http://appsetting.blogspot.tw/2017/02/jie-app.html,TRUE,FALSE,FALSE,2021-06-15 20:19:36
be.MOBILISED,com.hastobe.bemobilised,Maps & Navigation,0,0,100,100,274,TRUE,0,USD,15M,6.0 and up,has.to.be gmbh,http://www.has-to-be.com,support@has-to-be.com,02/09/20,05/14/21,Everyone,https://has-to-be.com/de/ueber-uns/datenschutzrichtlinien/,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Caliway Conductor,com.caliwayconductor.driver,Travel & Local,3.7,1572,10000,10000,42856,TRUE,0,USD,29M,4.2 and up,WayCali,https://www.facebook.com/waycali,waycalicol@gmail.com,09/05/18,05/30/20,Everyone,https://www.facebook.com/waycali,FALSE,FALSE,FALSE,2021-06-15 20:19:36
